epoch,lr,time,loss
0,7.071067811865476e-07,09:50:50,7.457007527351379
1,1.4142135623730952e-06,09:52:02,7.457074522972107
2,2.121320343559643e-06,09:53:17,7.490417718887329
3,2.8284271247461903e-06,09:54:30,7.478716135025024
4,3.5355339059327374e-06,09:55:42,7.367133736610413
5,4.242640687119286e-06,09:56:55,7.299598932266235
6,4.949747468305833e-06,09:58:09,7.260097861289978
7,5.656854249492381e-06,09:59:22,7.1699992418289185
8,6.363961030678928e-06,10:00:34,7.0613826513290405
9,7.071067811865475e-06,10:01:48,7.005900740623474
